EmployeeNumber,EmployeeID,MonthlyIncome,OverTime,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,Department,JobLevel,JobRole,Attrition,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,BusinessTravel,Age,Gender,MaritalStatus,Education,EducationField,DistanceFromHome,EmployeeNumber,EmployeeID,PerformanceRating
859,10498,"$4,403",No,11%,3,5,2,0,3,8,2,Sales,2,Sales Executive,No,2,4,2,Travel_Rarely,32,Male,Divorced,4,Life Sciences,13,859,10498,3
1128,10499,"$19,626",No,14%,2,20,7,4,9,21,1,Research & Development,5,Research Director,No,3,3,4,Travel_Rarely,40,Male,Single,3,Medical,14,1128,10499,3
1412,10500,"$9,362",No,11%,2,2,2,2,2,10,2,Research & Development,3,Manufacturing Director,No,3,4,3,Travel_Frequently,35,Male,Single,2,Life Sciences,18,1412,10500,3
2016,10501,"$10,422",No,19%,3,14,10,5,7,14,1,Sales,3,Sales Executive,No,3,4,3,Travel_Rarely,32,Female,Married,4,Marketing,1,2016,10501,3
1646,10502,"$3,760",Yes,13%,2,6,3,1,3,6,1,Research & Development,1,Research Scientist,No,1,4,3,Travel_Frequently,24,Female,Single,1,Technical Degree,2,1646,10502,3
733,10503,"$8,793",No,21%,4,9,7,1,7,9,1,Research & Development,3,Manufacturing Director,No,4,1,2,Travel_Frequently,27,Male,Divorced,2,Life Sciences,10,733,10503,4
1448,10504,"$2,127",Yes,12%,5,4,2,0,3,7,2,Research & Development,1,Research Scientist,No,2,3,2,Travel_Rarely,41,Male,Married,5,Medical,5,1448,10504,3
1105,10505,"$6,694",Yes,14%,5,1,0,0,0,8,2,Sales,2,Sales Executive,No,4,4,3,Travel_Rarely,37,Female,Divorced,4,Life Sciences,10,1105,10505,3
1055,10506,"$2,220",Yes,19%,2,1,1,0,0,1,1,Sales,1,Sales Representative,No,3,3,3,Travel_Rarely,34,Female,Married,4,Life Sciences,10,1055,10506,3
1597,10507,"$5,063",No,14%,3,8,2,7,7,8,1,Research & Development,2,Healthcare Representative,No,4,3,2,Travel_Frequently,34,Male,Married,4,Technical Degree,10,1597,10507,3
1866,10508,"$19,392",No,13%,2,16,12,6,14,21,7,Research & Development,5,Manager,No,1,3,3,Travel_Rarely,43,Female,Married,3,Medical,6,1866,10508,3
1858,10509,"$2,706",No,15%,2,3,2,2,2,3,1,Human Resources,1,Human Resources,No,3,4,3,Non-Travel,28,Male,Divorced,2,Life Sciences,1,1858,10509,3
845,10510,"$10,221",No,21%,3,8,5,1,6,17,3,Research & Development,3,Manufacturing Director,No,3,3,4,Travel_Rarely,35,Male,Single,3,Other,7,845,10510,4
508,10511,"$2,476",No,18%,3,1,0,0,0,1,1,Sales,1,Sales Representative,No,3,2,3,Travel_Rarely,30,Male,Married,1,Technical Degree,2,508,10511,3
1314,10512,"$3,423",No,12%,3,7,6,5,7,10,6,Human Resources,1,Human Resources,No,4,1,4,Travel_Rarely,46,Female,Single,2,Life Sciences,1,1314,10512,3
947,10513,"$6,932",No,13%,2,9,8,0,0,9,1,Sales,2,Sales Executive,No,4,3,2,Non-Travel,31,Female,Married,2,Marketing,20,947,10513,3
966,10514,"$6,725",No,12%,2,8,7,6,3,8,1,Research & Development,2,Manufacturing Director,No,3,1,4,Travel_Rarely,32,Female,Married,4,Medical,3,966,10514,3
487,10515,"$5,258",No,14%,2,1,0,0,0,7,2,Research & Development,2,Manufacturing Director,No,3,3,4,Non-Travel,46,Female,Married,4,Medical,7,487,10515,3
1755,10516,"$2,932",Yes,14%,3,5,0,1,2,6,0,Research & Development,1,Research Scientist,No,4,4,3,Travel_Rarely,34,Male,Married,4,Medical,2,1755,10516,3
1903,10517,"$5,033",No,15%,5,2,0,2,2,10,2,Research & Development,2,Healthcare Representative,No,2,1,3,Travel_Rarely,44,Male,Married,4,Life Sciences,1,1903,10517,3
699,10518,"$8,847",Yes,11%,2,3,2,0,2,13,2,Research & Development,2,Manufacturing Director,No,2,2,3,Travel_Rarely,36,Male,Divorced,2,Medical,9,699,10518,3
712,10519,"$8,120",No,12%,3,2,2,2,2,12,3,Sales,2,Sales Executive,No,2,2,3,Travel_Rarely,48,Male,Married,1,Marketing,2,712,10519,3
663,10520,"$5,679",Yes,13%,3,8,7,4,7,10,3,Research & Development,2,Laboratory Technician,No,4,3,3,Travel_Frequently,43,Male,Divorced,5,Medical,9,663,10520,3
1613,10521,"$5,332",No,13%,3,5,2,0,3,10,7,Sales,2,Sales Executive,No,4,1,3,Travel_Frequently,31,Male,Single,4,Other,2,1613,10521,3
969,10522,"$6,949",No,14%,3,5,0,1,4,6,0,Research & Development,2,Healthcare Representative,No,2,4,3,Travel_Rarely,33,Female,Single,3,Life Sciences,1,969,10522,3
1267,10523,"$18,213",No,11%,5,22,9,3,10,26,7,Sales,5,Manager,No,2,2,3,Travel_Rarely,44,Male,Married,3,Marketing,5,1267,10523,3
1582,10524,"$9,924",No,11%,3,9,8,7,7,10,0,Sales,2,Sales Executive,No,3,2,3,Travel_Rarely,38,Male,Married,3,Life Sciences,14,1582,10524,3
1157,10525,"$8,224",Yes,17%,3,5,2,0,3,6,0,Sales,2,Sales Executive,Yes,1,1,3,Travel_Rarely,33,Female,Single,4,Marketing,9,1157,10525,3
1968,10526,"$10,448",Yes,13%,2,2,2,2,2,15,6,Sales,3,Sales Executive,Yes,1,1,2,Travel_Rarely,53,Male,Single,4,Life Sciences,24,1968,10526,3
791,10527,"$4,258",No,18%,3,4,3,1,2,5,0,Research & Development,1,Research Scientist,No,4,4,3,Non-Travel,52,Male,Married,4,Medical,19,791,10527,3
195,10528,"$4,668",No,17%,2,8,7,0,7,9,0,Sales,2,Sales Executive,No,4,4,4,Travel_Frequently,32,Male,Divorced,2,Medical,9,195,10528,3
1698,10529,"$2,028",No,18%,6,14,11,2,13,14,1,Research & Development,1,Laboratory Technician,No,2,2,3,Travel_Rarely,33,Male,Married,3,Medical,21,1698,10529,3
363,10530,"$16,872",Yes,12%,2,7,7,7,7,28,3,Sales,4,Manager,No,3,2,2,Travel_Rarely,46,Female,Married,3,Technical Degree,2,363,10530,3
1172,10531,"$2,258",No,12%,2,8,0,1,7,10,6,Research & Development,1,Laboratory Technician,No,4,3,3,Travel_Rarely,35,Male,Married,4,Medical,1,1172,10531,3
1966,10532,"$9,679",No,24%,1,1,0,0,0,8,8,Research & Development,2,Manufacturing Director,No,4,4,3,Travel_Rarely,32,Male,Single,4,Life Sciences,5,1966,10532,4
359,10533,"$2,794",No,20%,3,5,1,0,3,5,1,Research & Development,1,Laboratory Technician,No,2,2,1,Travel_Frequently,32,Male,Married,3,Life Sciences,7,359,10533,4
1639,10534,"$10,306",No,17%,3,13,12,6,0,15,9,Sales,3,Sales Executive,Yes,4,1,3,Travel_Rarely,35,Male,Married,3,Medical,10,1639,10534,3
1733,10535,"$6,134",Yes,13%,3,2,2,2,2,16,5,Sales,2,Sales Executive,Yes,2,1,3,Travel_Rarely,36,Male,Divorced,5,Marketing,13,1733,10535,3
1338,10536,"$19,717",No,14%,4,7,3,7,7,36,6,Human Resources,5,Manager,No,4,2,3,Travel_Rarely,56,Male,Single,4,Life Sciences,8,1338,10536,3
1135,10537,"$2,791",No,12%,4,2,2,2,2,3,0,Sales,1,Sales Representative,No,3,4,3,Travel_Frequently,31,Male,Married,3,Life Sciences,20,1135,10537,3
1824,10538,"$16,291",No,22%,0,16,9,14,14,37,4,Sales,4,Manager,No,2,2,2,Non-Travel,58,Male,Divorced,3,Medical,2,1824,10538,4
783,10539,"$6,632",No,13%,3,8,7,3,1,9,0,Sales,2,Sales Representative,No,2,3,3,Travel_Rarely,45,Male,Single,2,Technical Degree,2,783,10539,3
1674,10540,"$2,587",Yes,16%,2,2,2,2,2,17,4,Research & Development,1,Laboratory Technician,No,4,1,2,Travel_Rarely,49,Female,Divorced,3,Medical,16,1674,10540,3
1595,10541,"$19,613",No,22%,2,1,0,0,1,24,8,Research & Development,5,Manager,No,4,4,3,Travel_Rarely,42,Male,Single,2,Other,9,1595,10541,4
1270,10542,"$1,223",No,22%,2,1,0,0,1,1,1,Research & Development,1,Research Scientist,No,4,3,3,Travel_Rarely,23,Male,Married,2,Life Sciences,1,1270,10542,4
1480,10543,"$3,673",No,13%,3,12,9,5,8,12,1,Research & Development,1,Laboratory Technician,No,1,4,3,Travel_Frequently,42,Female,Single,2,Medical,9,1480,10543,3
1734,10544,"$6,735",No,15%,2,0,0,0,0,10,6,Sales,2,Sales Executive,Yes,1,2,3,Travel_Rarely,32,Male,Single,2,Life Sciences,1,1734,10544,3
1119,10545,"$8,740",Yes,14%,2,8,7,2,7,9,0,Sales,3,Sales Executive,No,3,3,3,Travel_Rarely,38,Male,Divorced,4,Marketing,10,1119,10545,3
614,10546,"$1,878",Yes,14%,3,0,0,0,0,0,1,Sales,1,Sales Representative,Yes,2,2,3,Travel_Frequently,18,Male,Single,3,Marketing,5,614,10546,3
218,10547,"$2,024",No,18%,1,2,2,2,2,6,6,Research & Development,1,Research Scientist,No,4,2,1,Non-Travel,27,Male,Divorced,3,Medical,9,218,10547,3
662,10548,"$2,619",No,17%,3,0,0,0,0,8,3,Research & Development,1,Research Scientist,No,3,1,2,Travel_Rarely,38,Female,Single,1,Life Sciences,1,662,10548,3
1423,10549,"$19,701",Yes,21%,3,9,8,1,5,32,3,Research & Development,5,Research Director,No,4,1,3,Travel_Rarely,58,Female,Married,3,Medical,1,1423,10549,4
1246,10550,"$2,011",No,13%,5,10,5,7,7,10,1,Research & Development,1,Research Scientist,No,1,4,3,Travel_Rarely,44,Female,Married,1,Life Sciences,2,1246,10550,3
972,10551,"$4,447",No,12%,5,9,7,0,8,9,1,Research & Development,2,Laboratory Technician,No,3,2,2,Non-Travel,45,Male,Married,2,Life Sciences,4,972,10551,3
98,10552,"$4,424",No,23%,2,11,7,1,8,11,1,Research & Development,2,Manufacturing Director,No,3,4,3,Travel_Rarely,31,Female,Single,4,Life Sciences,8,98,10552,4
1772,10553,"$2,289",No,20%,2,5,3,0,4,5,1,Research & Development,1,Laboratory Technician,No,3,1,3,Travel_Rarely,41,Male,Divorced,4,Life Sciences,9,1772,10553,4
752,10554,"$2,759",Yes,12%,2,2,2,2,2,7,6,Research & Development,1,Research Scientist,Yes,3,3,3,Travel_Frequently,42,Male,Divorced,3,Medical,19,752,10554,3
1586,10555,"$4,723",Yes,18%,3,10,9,1,5,10,1,Research & Development,1,Laboratory Technician,No,2,1,3,Travel_Rarely,29,Male,Single,1,Medical,3,1586,10555,3
380,10556,"$13,603",Yes,18%,2,5,2,0,2,15,2,Research & Development,3,Research Director,No,1,4,3,Non-Travel,37,Female,Divorced,4,Medical,1,380,10556,3
1273,10557,"$1,118",Yes,14%,4,1,0,1,0,1,1,Sales,1,Sales Representative,Yes,3,4,3,Travel_Frequently,25,Male,Single,1,Life Sciences,24,1273,10557,3
967,10558,"$10,325",Yes,11%,6,16,7,3,7,16,1,Sales,3,Sales Executive,Yes,3,4,3,Travel_Rarely,36,Male,Married,1,Life Sciences,3,967,10558,3
1312,10559,"$7,094",No,12%,0,7,7,1,7,10,3,Research & Development,3,Healthcare Representative,No,4,3,3,Travel_Rarely,36,Female,Married,4,Technical Degree,10,1312,10559,3
1996,10560,"$3,067",No,19%,1,2,2,1,2,3,0,Sales,1,Sales Representative,No,1,3,3,Travel_Rarely,31,Male,Married,2,Life Sciences,2,1996,10560,3
1839,10561,"$1,514",No,16%,4,0,0,0,0,0,1,Research & Development,1,Research Scientist,No,2,3,1,Non-Travel,18,Female,Single,3,Medical,14,1839,10561,3
1219,10562,"$2,210",No,13%,3,1,0,0,0,1,1,Research & Development,1,Laboratory Technician,Yes,4,2,1,Travel_Rarely,24,Female,Married,2,Life Sciences,17,1219,10562,3
21,10563,"$3,298",Yes,12%,5,6,2,0,5,7,0,Research & Development,1,Research Scientist,No,1,2,2,Travel_Rarely,32,Male,Divorced,2,Life Sciences,5,21,10563,3
691,10564,"$6,646",No,13%,3,17,11,11,8,17,1,Research & Development,2,Research Scientist,No,2,4,3,Travel_Rarely,35,Male,Single,4,Life Sciences,6,691,10564,3
1982,10565,"$2,647",No,13%,6,5,2,1,4,5,1,Research & Development,1,Laboratory Technician,No,4,4,4,Travel_Rarely,23,Male,Single,2,Other,12,1982,10565,3
88,10566,"$2,194",No,13%,2,3,2,1,2,5,4,Research & Development,1,Research Scientist,No,2,1,2,Travel_Frequently,35,Male,Married,3,Medical,1,88,10566,3
391,10567,"$2,115",No,12%,3,17,12,5,7,17,1,Research & Development,1,Research Scientist,No,4,4,3,Travel_Rarely,37,Female,Single,3,Life Sciences,1,391,10567,3
1999,10568,"$2,782",No,22%,3,5,3,1,0,12,3,Research & Development,1,Research Scientist,No,4,4,3,Travel_Rarely,41,Male,Married,3,Life Sciences,1,1999,10568,4
1469,10569,"$8,463",No,18%,4,5,4,1,3,6,0,Sales,2,Sales Executive,No,4,1,3,Travel_Rarely,28,Male,Single,3,Medical,5,1469,10569,3
261,10570,"$5,916",Yes,13%,1,1,0,0,1,8,3,Research & Development,2,Manufacturing Director,Yes,2,3,3,Travel_Rarely,35,Male,Married,2,Life Sciences,23,261,10570,3
1158,10571,"$4,766",Yes,11%,4,1,0,0,0,6,3,Research & Development,1,Laboratory Technician,No,2,4,3,Travel_Rarely,41,Male,Married,4,Life Sciences,12,1158,10571,3
1319,10572,"$8,446",Yes,19%,2,8,7,7,7,10,9,Sales,3,Sales Executive,Yes,2,2,2,Travel_Rarely,52,Male,Single,3,Life Sciences,5,1319,10572,3
57,10573,"$4,011",No,23%,2,12,8,3,7,12,1,Research & Development,2,Laboratory Technician,No,3,4,3,Travel_Frequently,30,Female,Single,2,Medical,1,57,10573,4
