ID,MonthlyIncome,OverTime,PercentSalaryHike
10498,"$4,403",No,11%
10499,"$19,626",No,14%
10500,"$9,362",No,11%
10501,"$10,422",No,19%
10502,"$3,760",Yes,13%
10503,"$8,793",No,21%
10504,"$2,127",Yes,12%
10505,"$6,694",Yes,14%
10506,"$2,220",Yes,19%
10507,"$5,063",No,14%
10508,"$19,392",No,13%
10509,"$2,706",No,15%
10510,"$10,221",No,21%
10511,"$2,476",No,18%
10512,"$3,423",No,12%
10513,"$6,932",No,13%
10514,"$6,725",No,12%
10515,"$5,258",No,14%
10516,"$2,932",Yes,14%
10517,"$5,033",No,15%
10518,"$8,847",Yes,11%
10519,"$8,120",No,12%
10520,"$5,679",Yes,13%
10521,"$5,332",No,13%
10522,"$6,949",No,14%
10523,"$18,213",No,11%
10524,"$9,924",No,11%
10525,"$8,224",Yes,17%
10526,"$10,448",Yes,13%
10527,"$4,258",No,18%
10528,"$4,668",No,17%
10529,"$2,028",No,18%
10530,"$16,872",Yes,12%
10531,"$2,258",No,12%
10532,"$9,679",No,24%
10533,"$2,794",No,20%
10534,"$10,306",No,17%
10535,"$6,134",Yes,13%
10536,"$19,717",No,14%
10537,"$2,791",No,12%
10538,"$16,291",No,22%
10539,"$6,632",No,13%
10540,"$2,587",Yes,16%
10541,"$19,613",No,22%
10542,"$1,223",No,22%
10543,"$3,673",No,13%
10544,"$6,735",No,15%
10545,"$8,740",Yes,14%
10546,"$1,878",Yes,14%
10547,"$2,024",No,18%
10548,"$2,619",No,17%
10549,"$19,701",Yes,21%
10550,"$2,011",No,13%
10551,"$4,447",No,12%
10552,"$4,424",No,23%
10553,"$2,289",No,20%
10554,"$2,759",Yes,12%
10555,"$4,723",Yes,18%
10556,"$13,603",Yes,18%
10557,"$1,118",Yes,14%
10558,"$10,325",Yes,11%
10559,"$7,094",No,12%
10560,"$3,067",No,19%
10561,"$1,514",No,16%
10562,"$2,210",No,13%
10563,"$3,298",Yes,12%
10564,"$6,646",No,13%
10565,"$2,647",No,13%
10566,"$2,194",No,13%
10567,"$2,115",No,12%
10568,"$2,782",No,22%
10569,"$8,463",No,18%
10570,"$5,916",Yes,13%
10571,"$4,766",Yes,11%
10572,"$8,446",Yes,19%
10573,"$4,011",No,23%
10574,"$7,083",Yes,14%
10575,"$17,567",No,15%
10576,"$8,865",No,12%
10577,"$1,129",Yes,11%
10578,"$4,777",No,15%
10579,"$6,883",No,16%
10580,"$5,321",No,11%
10581,"$5,974",Yes,13%
10582,"$5,410",Yes,11%
10583,"$13,726",Yes,13%
10584,"$4,960",No,12%
10585,"$3,743",Yes,24%
10586,"$8,726",No,15%
10587,"$18,947",No,12%
10588,"$1,702",Yes,23%
10589,"$7,336",No,13%
10590,"$2,090",Yes,15%
10591,"$6,142",Yes,16%
10592,"$19,926",No,15%
10593,"$4,907",No,25%
10594,"$16,606",No,12%
10595,"$5,163",No,14%
10596,"$3,180",No,13%
10597,"$3,294",No,17%
10598,"$2,099",No,14%
10599,"$10,793",No,18%
10600,"$6,538",No,15%
10601,"$2,819",No,16%
10602,"$16,598",No,12%
10603,"$4,420",No,22%
10604,"$4,319",No,13%
10605,"$19,636",Yes,18%
10606,"$8,926",No,22%
10607,"$2,439",No,14%
10608,"$2,703",Yes,14%
10609,"$17,099",No,15%
10610,"$10,445",No,19%
10611,"$5,093",No,11%
10612,"$8,966",Yes,15%
10613,"$7,642",Yes,13%
10614,"$4,950",No,14%
10615,"$4,025",Yes,13%
10616,"$2,451",No,12%
10617,"$6,687",No,11%
10618,"$11,713",No,14%
10619,"$2,380",Yes,11%
10620,"$10,761",Yes,12%
10621,"$4,028",No,20%
10622,"$4,554",No,18%
10623,"$5,204",Yes,11%
10624,"$3,919",Yes,22%
10625,"$5,906",No,13%
10626,"$4,081",Yes,14%
10627,"$13,225",No,12%
10628,"$4,187",Yes,13%
10629,"$4,507",No,12%
10630,"$4,523",No,11%
10631,"$5,295",No,21%
10632,"$5,257",No,11%
10633,"$4,244",No,24%
10634,"$2,319",Yes,11%
10635,"$10,739",No,11%
10636,"$2,404",Yes,21%
10637,"$7,428",No,12%
