ID,depth,table,price,x,y,z,quality
10378,43,54,4778,6.53,6.55,4.12,JVS2_1.09_Ideal
4519,43,59,3634,6.32,6.27,3.97,GSI1_1_Fair
6342,44,53,4032,6.31,6.24,4.12,GVS2_1_Fair
16858,50.8,60,6727,7.73,7.25,3.93,IVS1_1.43_Fair
36504,51,67,945,4.67,4.62,2.37,EVVS2_0.3_Fair
47776,52.2,65,1895,6.04,5.99,3.14,DSI1_0.7_Fair
40767,52.3,61,1166,4.96,4.91,2.58,FIF_0.37_Fair
42257,52.7,70,1293,5.71,5.57,2.97,HVS2_0.56_Fair
714,53,63,2856,6.84,6.77,3.66,ISI1_1.02_Fair
444,53.1,63,2815,6.73,6.65,3.55,ESI2_0.96_Fair
11242,53.2,61,4966,7.44,7.36,3.94,GSI2_1.26_Fair
38042,53.2,62,1011,4.87,4.8,2.57,DVVS2_0.35_Fair
713,53.3,67,2855,6.82,6.74,3.61,ESI2_0.98_Fair
49806,53.4,65,2164,6.19,6.15,3.3,FSI2_0.73_Fair
10465,53.8,63,4790,6.99,6.81,3.71,ESI1_1.08_Fair
38054,54,56,1012,4.8,4.76,2.58,EVVS1_0.34_Fair
33017,54.2,63,814,4.61,4.51,2.47,EVS2_0.31_Fair
37746,54.2,65,997,4.61,4.58,2.49,DVVS2_0.31_Fair
42805,54.3,65,1352,5.46,5.51,2.98,DSI2_0.53_Good
38154,54.4,64,1013,4.3,4.23,2.32,FSI2_0.25_Fair
38041,54.6,59,1011,4.85,4.79,2.63,FVVS1_0.35_Fair
53543,54.7,67,2691,6.25,6.15,3.4,HVS2_0.78_Fair
424,55,61,2812,6.72,6.67,3.68,JSI1_0.99_Fair
47110,55,66,1827,6.2,6.04,3.37,JSI1_0.75_Fair
45058,55.1,66,1641,5.85,5.7,3.18,FSI1_0.62_Fair
228,55.1,67,2782,6.39,6.2,3.47,GSI1_0.84_Fair
92,55.1,69,2757,6.45,6.33,3.52,ESI2_0.86_Fair
38642,55.2,59,1040,4.72,4.77,2.62,FVVS1_0.34_Fair
35663,55.2,60,907,5.29,5.25,2.91,ESI2_0.48_Fair
28271,55.2,64,361,4.21,4.23,2.33,EVS1_0.25_Fair
5447,55.2,64,3830,6.69,6.64,3.68,HSI1_1_Fair
6813,55.2,65,4118,6.78,6.67,3.71,ESI2_1.01_Fair
22573,55.2,66,10623,7.72,7.67,4.26,GVS2_1.52_Fair
42988,55.3,63,1367,5.67,5.61,3.12,FSI1_0.6_Fair
47741,55.3,65,1890,5.35,5.31,2.95,EVS1_0.5_Fair
23196,55.3,65,11202,8.42,8.35,4.64,HSI2_2_Fair
32902,55.3,67,810,4.79,4.72,2.63,FVS1_0.36_Fair
43399,55.3,69,1411,5.85,5.69,3.19,IVS2_0.64_Fair
1609,55.4,62,3011,6.63,6.59,3.66,ESI2_1_Fair
53758,55.4,64,2724,6.06,5.97,3.34,FVS2_0.72_Fair
49250,55.5,62,2086,6,5.97,3.32,DSI1_0.71_Fair
41504,55.5,64,1234,5.44,5.4,3.01,HVS1_0.51_Fair
52475,55.5,69,2518,6.16,6.07,3.39,DSI2_0.76_Fair
17098,55.6,62,6817,8.75,8.69,4.8,GI1_2.17_Fair
53757,55.6,64,2724,6.42,6.32,3.54,GVS1_0.84_Fair
18025,55.6,67,7291,7.27,7.11,4,DSI1_1.24_Fair
51392,55.6,73,2368,6.01,5.96,3.33,DVS2_0.71_Fair
46477,55.8,60,1776,4.48,4.41,2.48,FSI1_0.29_Fair
42120,55.8,60,1279,5.31,5.27,2.95,FVS2_0.5_Fair
13222,55.8,60,5460,6.66,6.61,3.7,HVS1_1_Fair
42718,55.8,61,1340,5.43,5.35,3.01,ESI1_0.51_Fair
18462,55.8,61,7509,7.72,7.63,4.28,HSI1_1.51_Fair
49774,55.8,62,2160,4.72,4.6,2.6,FI1_0.34_Fair
778,55.8,70,2859,6.09,5.98,3.37,FVS1_0.75_Fair
17594,55.9,60,7083,6.77,6.71,4.38,DVS1_1_Fair
7738,55.9,62,581,4.6,4.56,2.56,EVS2_0.31_Fair
51692,55.9,62,2399,5.94,5.83,3.29,FVS1_0.7_Fair
2016,55.9,62,3104,6.35,6.42,3.57,GSI2_0.9_Fair
12132,55.9,63,5171,6.9,6.8,3.83,HVVS2_1.08_Fair
10962,55.9,64,4903,7.15,7.01,3.95,FSI2_1.18_Fair
13993,55.9,64,5696,8.48,8.39,4.71,II1_2.01_Fair
51049,55.9,66,2330,6.11,6.01,3.39,IVS1_0.73_Fair
9950,55.9,67,4695,7.05,6.94,3.9,IVS2_1.13_Fair
441,56,60,2815,6.62,6.53,3.68,FSI2_0.95_Fair
5870,56,60,3924,6.53,6.51,3.65,HVS1_0.92_Fair
36959,56,64,480,4.38,4.41,2.46,HVVS1_0.28_Good
20442,56,65,8794,7.68,7.57,4.27,GVS2_1.51_Fair
1228,56,67,2940,6.18,6.08,3.43,EVS2_0.75_Fair
45067,56,67,1642,5.81,5.78,3.25,FSI1_0.67_Fair
2584,56.1,60,3215,6.62,6.58,3.7,IVS2_0.96_Fair
18073,56.1,62,7300,7.6,7.52,4.24,GSI1_1.5_Fair
22742,56.1,62,10761,9.54,9.38,5.31,HI1_3.01_Fair
51140,56.1,63,2342,6.7,6.65,3.74,II1_1.01_Fair
48242,56.1,64,1950,5.31,5.28,2.97,EVS1_0.5_Fair
43777,56.1,65,1440,5.73,5.78,3.23,IVS2_0.63_Good
23490,56.2,58,11489,7.71,7.6,4.3,ESI1_1.5_Fair
47304,56.2,60,395,4.14,4.19,2.34,GVVS1_0.23_Good
46791,56.2,61,1806,5.16,5.24,2.92,FIF_0.46_Good
34699,56.2,61,873,4.84,4.87,2.73,FVS2_0.38_Good
26249,56.2,61,15695,8.8,8.33,4.81,HSI1_2.02_Fair
19793,56.2,62,8362,8.14,8.09,4.56,JSI1_1.81_Fair
2447,56.2,62,3188,6.69,6.73,3.77,JSI2_1.03_Good
2699,56.2,62,3246,6.73,6.69,3.77,JSI2_1.03_Fair
24242,56.2,63,12450,8.28,8.23,4.64,GSI2_2.01_Fair
42192,56.2,64,1286,5.43,5.41,3.05,ESI1_0.53_Fair
51514,56.2,65,2384,5.93,5.88,3.32,GVS1_0.7_Fair
41842,56.3,59,1254,4.94,4.97,2.79,DVS1_0.4_Good
37220,56.3,59,975,5.41,5.35,3.03,FSI2_0.52_Fair
14114,56.3,60,5723,7.61,7.55,4.27,HSI2_1.46_Fair
18816,56.3,61,7702,7.7,7.62,4.31,DSI2_1.52_Fair
44533,56.3,61,1602,5.34,5.29,2.99,FVS2_0.51_Fair
25025,56.3,62,640,4.47,4.49,2.52,EVS1_0.3_Fair
40615,56.3,62,498,4.1,4.11,2.31,EVVS1_0.23_Good
939,56.3,63,2885,6.22,6.14,3.48,ESI1_0.8_Fair
6971,56.3,63,4150,6.63,6.61,3.73,HSI1_1_Fair
39386,56.3,64,1075,5.19,5.14,2.91,EVS2_0.47_Fair
10594,56.3,64,4823,6.37,6.42,3.6,EVS2_0.91_Good
20648,56.3,64,8938,7.68,7.62,4.31,FSI2_1.52_Fair
30375,56.3,64,729,4.44,4.39,2.5,FVS2_0.3_Fair
2505,56.3,64,3199,6.58,6.54,3.69,JSI2_1_Fair
42644,56.3,65,1332,5.24,5.21,2.94,HVS2_0.5_Fair
41660,56.3,65,1239,5.21,5.24,2.94,HVS2_0.5_Good
11758,56.3,67,5078,6.52,6.45,3.65,DVS2_0.93_Fair
37699,56.4,59,994,5.28,5.26,2.97,FSI1_0.48_Fair
5846,56.4,61,3920,6.58,6.55,3.7,ISI1_1_Fair
43177,56.4,62,1390,5.31,5.22,2.97,FVS1_0.5_Good
43847,56.4,62,1446,5.31,5.22,2.97,FVS1_0.5_Fair
7675,56.4,62,4273,6.97,6.9,3.9,ISI1_1.09_Fair
6503,56.4,66,4063,6.59,6.54,3.7,FSI1_0.97_Fair
40419,56.5,57,1134,5.97,5.86,3.33,HI1_0.7_Good
9874,56.5,60,4679,6.62,6.66,3.75,FSI1_1_Fair
2582,56.5,61,3214,6.53,6.5,3.68,DSI2_0.95_Good
40019,56.5,61,1109,5.11,5.05,2.87,FVS1_0.46_Good
40695,56.5,61,1157,5.11,5.05,2.87,FVS1_0.46_Good
25389,56.5,61,14080,8.33,8.37,4.72,HSI2_2.02_Fair
33920,56.5,62,844,5.17,5.09,2.9,ESI2_0.47_Good
11370,56.5,62,4998,6.93,6.88,3.9,FSI2_1.13_Good
8620,56.5,62,4445,6.58,6.55,3.71,IVVS1_1_Good
31251,56.5,63,758,4.98,4.94,2.8,DSI1_0.41_Good
17476,56.5,63,7016,6.65,6.62,3.75,FVVS2_1_Good
6796,56.5,67,4115,6.38,6.4,3.61,HVVS1_0.91_Fair
53065,56.5,68,2608,6.03,5.89,3.37,HVVS2_0.72_Fair
39566,56.6,59,1080,5.77,5.74,3.26,ESI2_0.64_Good
46558,56.6,59,1781,5.37,5.26,3.01,EVS2_0.51_Good
35119,56.6,59,886,4.82,4.87,2.74,IIF_0.38_Good
49508,56.6,61,2120,5.86,5.95,3.34,GSI1_0.7_Fair
13270,56.6,61,5484,6.65,6.61,3.75,GVS2_1_Good
48745,56.6,63,2015,5.9,5.76,3.3,DSI2_0.71_Good
37217,56.6,63,974,5.11,5.06,2.88,FSI2_0.44_Good
4024,56.6,63,3522,6.52,6.39,3.67,GSI1_0.96_Good
19247,56.6,64,7980,7.51,7.43,4.23,DSI1_1.5_Good
930,56.6,65,2882,6.39,6.32,3.6,FSI1_0.88_Fair
